"","Subject","Trial","Condition","SS1vSS2top","SS1amount","SS1delay","LL1amount","LL1delay","SS2amount","SS2delay","LL2amount","LL2delay","TrialStart","RT","TrialOver","Choice","Run","Day"
"3512",120,2,16,1,9.12,7,7.44,28,7.21,7,9.41,28,5.62,2.9604,3.4787,1,1,"Fast"
"3513",120,3,33,0,8.23,21,7.44,42,6.5,21,9.41,42,9.1286,13.1202,13.6379,0,1,"Fast"
"3514",120,4,40,0,9.41,21,8.51,63,7.44,21,10.76,63,22.7964,6.7658,7.2856,0,1,"Fast"
"3515",120,5,31,0,9.12,21,7.44,42,7.21,21,9.41,42,30.1125,6.4073,6.9197,0,1,"Fast"
"3516",120,6,39,1,7.59,21,7.44,63,6,21,9.41,63,37.0628,5.1896,5.7062,1,1,"Fast"
"3517",120,7,2,0,8.83,0,7.44,21,6.98,0,9.41,21,42.8159,8.0817,8.5993,1,1,"Fast"
"3518",120,8,14,0,6.03,0,7.44,63,4.76,0,9.41,63,51.4455,3.5489,4.0598,0,1,"Fast"
"3519",120,9,35,1,5.47,21,13.01,42,3.5,21,15.27,42,55.5524,6.8982,7.4179,0,1,"Fast"
"3520",120,10,28,1,7.12,7,7.44,70,5.63,7,9.41,70,63.0016,11.9447,12.4567,0,1,"Fast"
"3521",120,11,18,1,8.23,7,7.44,28,6.5,7,9.41,28,75.4888,6.1819,6.7038,0,1,"Fast"
"3522",120,12,20,1,9.41,7,8.51,28,7.44,7,10.76,28,82.223,6.0665,6.5874,0,1,"Fast"
"3523",120,13,10,0,9.41,0,8.51,42,7.44,0,10.76,42,88.8407,7.3732,7.884,0,1,"Fast"
"3524",120,14,3,1,8.23,0,7.44,21,6.5,0,9.41,21,96.7554,4.784,5.3071,0,1,"Fast"
"3525",120,15,44,1,6.03,21,7.44,84,4.76,21,9.41,84,102.0928,7.5674,8.0834,0,1,"Fast"
"3526",120,16,3,0,11.67,0,3.5,21,9.95,0,5.47,21,110.2236,2.9959,3.5113,0,1,"Fast"
"3527",120,17,1,1,9.12,0,7.44,21,7.21,0,9.41,21,113.7653,6.007,6.5209,0,1,"Fast"
"3528",120,18,1,0,12.93,0,3.5,21,11.02,0,5.47,21,120.3165,4.8787,5.3902,0,1,"Fast"
"3529",120,19,38,0,8.23,21,7.44,63,6.5,21,9.41,63,125.7371,7.5309,8.0508,0,1,"Fast"
"3530",120,20,7,1,8.83,0,7.44,42,6.98,0,9.41,42,133.818,3.579,4.093,0,1,"Fast"
"3531",120,21,34,1,7.59,21,7.44,42,6,21,9.41,42,137.9416,4.2153,4.7418,1,1,"Fast"
"3532",120,22,20,1,13.35,7,4,28,11.38,7,6.26,28,142.7137,2.7869,3.3118,1,1,"Fast"
"3533",120,23,15,1,9.32,0,8.51,63,7.37,0,10.76,63,146.0558,8.794,9.3143,0,1,"Fast"
"3534",120,24,41,1,9.1,21,7.44,84,7.2,21,9.41,84,155.4005,7.6497,8.1665,1,1,"Fast"
"3535",120,25,29,0,6.03,7,7.44,70,4.76,7,9.41,70,163.5978,4.5827,5.1076,0,1,"Fast"
"3536",120,26,31,1,12.93,21,3.5,42,11.02,21,5.47,42,168.7357,7.5362,8.0498,1,1,"Fast"
"3537",120,27,15,1,13.22,0,4,63,11.27,0,6.26,63,176.8167,7.1092,7.6352,1,1,"Fast"
"3538",120,28,25,0,7.59,7,7.44,49,6,7,9.41,49,184.4819,9.4209,9.9462,0,1,"Fast"
"3539",120,29,33,1,11.67,21,3.5,42,9.95,21,5.47,42,194.4584,8.9444,9.4639,1,1,"Fast"
"3540",120,30,11,0,9.1,0,7.44,63,7.2,0,9.41,63,203.9527,4.2957,4.8079,0,1,"Fast"
"3541",120,31,40,1,13.35,21,4,63,11.38,21,6.26,63,208.7913,5.5054,6.0221,1,1,"Fast"
"3542",120,32,27,0,8.15,7,7.44,70,6.44,7,9.41,70,214.8437,3.741,4.2595,0,1,"Fast"
"3543",120,33,13,0,7.12,0,7.44,63,5.63,0,9.41,63,219.1336,1.6111,2.1313,0,1,"Fast"
"3544",120,34,14,1,8.55,0,3.5,63,7.29,0,5.47,63,221.2952,4.4242,4.9412,1,1,"Fast"
"3545",120,35,26,0,9.1,7,7.44,70,7.2,7,9.41,70,226.2668,6.0186,6.5375,0,1,"Fast"
"3546",120,36,22,1,9.12,7,7.44,49,7.21,7,9.41,49,232.8346,10.0881,10.6113,1,1,"Fast"
"3547",120,37,16,0,5.3,7,11.38,28,3.39,7,13.35,28,243.4762,4.3251,4.8416,0,1,"Fast"
"3548",120,38,28,1,10.1,7,3.5,70,8.61,7,5.47,70,248.3479,6.6682,7.1861,0,1,"Fast"
"3549",120,39,5,0,9.41,0,8.51,21,7.44,0,10.76,21,255.5644,5.9308,6.4545,0,1,"Fast"
"3550",120,40,41,1,5.29,21,11.38,84,3.39,21,13.35,84,262.0491,3.5992,4.1096,0,1,"Fast"
